last_name,first_name,street_address,unit,city,state,zip,dob,ssn,email_address,mobile_number,account_number
Dark,Joseph,7 B Blue Ridge Blvd,,Brighton,Michigan,48116,1975-03-01,205-81-3991,jdarky@darakjy.org,5046218927,43991
James,Butt,6649 N Blue Gum St,,New Orleans,Louisiana,70116,1965-07-29,508-60-8859,jbutt@gmail.com,7134926037,26522
Josephine,Darakjy,4 B Blue Ridge Blvd,,Brighton,Michigan,48116,1975-03-01,205-81-3006,josephine_darakjy@darakjy.org,5046218927,31938
Art,Venere,8 W Cerritos Ave,#54,Bridgeport,New Jersey,8014,1947-11-10,793-96-7688,art@venere.org,8102929388,31094
Lenna,Paprocki,639 Main St,,Anchorage,Alaska,99501,1986-02-11,581-28-7051,lpaprocki@hotmail.com,8566368749,18393
Kiles,Teresa,54 E 75th St,#69,Los Angeles,California,90034,1955-09-27,322-92-1333,tkiles54@aol.com,6313353414,21333
Donette,Foller,34 Center St,,Hamilton,Ohio,45011,1939-06-11,375-46-8304,donette.foller@cox.net,9073854412,37466
Simona,Morasca,3 Mcauley Dr,,Ashland,Ohio,44805,1968-01-12,760-78-8845,simona@morasca.com,5135701893,38829
Mitsue,Tollner,7 Eads St,,Chicago,Illinois,60632,1985-03-31,726-64-8750,mitsue_tollner@yahoo.com,4195032484,25643
Leota,Dilliard,7 W Jackson Blvd,,San Jose,California,95111,1979-02-23,873-25-6496,leota@hotmail.com,7735736914,32628
Sage,Wieser,5 Boston Ave,#88,Sioux Falls,South Dakota,57105,1975-06-10,965-59-9766,sage_wieser@cox.net,4087523500,18054
Kris,Marrier,228 Runamuck Pl,#2808,Baltimore,Maryland,21224,1973-03-25,557-49-4226,kris@gmail.com,6054142147,37632
Minna,Amigon,2371 Jerrold Ave,,Kulpsville,Pennsylvania,19443,1947-01-22,836-42-6534,minna_amigon@yahoo.com,4106558723,28226
Abel,Maclead,37275 St  Rt 17m M,,Middle Island,New York,11953,1965-12-12,282-99-7138,amaclead@gmail.com,2158741229,37226
Kiley,Caldarera,25 E 75th St,#69,Los Angeles,California,90034,1955-09-27,322-92-7570,kiley.caldarera@aol.com,6313353414,19485
Graciela,Ruta,98 Connecticut Ave Nw,,Chagrin Falls,Ohio,44023,1956-05-03,369-95-8546,gruta@cox.net,3104985651,33945
Cammy,Albares,56 E Morehead St,,Laredo,Texas,78045,1976-03-25,431-08-6477,calbares@gmail.com,4407808425,14829
Mattie,Poquette,73 State Road 434 E,,Phoenix,Arizona,85013,1941-02-22,709-90-6312,mattie@aol.com,9565376195,22824
Meaghan,Garufi,69734 E Carrillo St,,Mc Minnville,Tennessee,37110,1946-12-13,432-24-8074,meaghan@hotmail.com,6022774385,31452
Gladys,Rim,322 New Horizon Blvd,,Milwaukee,WISCONSIN,53207,1951-12-21,249-34-8665,gladys.rim@rim.org,9313139635,26856
Yuki,Whobrey,1 State Route 27,,Taylor,Michigan,48180,1978-05-06,324-80-4342,yuki_whobrey@aol.com,4146619598,26607
Fletcher,Flosi,394 Manchester Blvd,,Rockford,Illinois,61109,1968-04-18,733-27-4800,fletcher.flosi@yahoo.com,3132887937,36717
Bette,Nicka,6 S 33rd St,,Aston,Pennsylvania,19014,1959-03-17,550-22-5793,bette_nicka@cox.net,8158282147,37385
Veronika,Inouye,6 Greenleaf Ave,,San Jose,California,95111,1996-12-23,357-08-2396,vinouye@aol.com,6105453615,33717
Willard,Kolmetz,618 W Yakima Ave,,Irving,Texas,75062,1987-12-28,295-78-6006,willard@hotmail.com,4085401785,14281
Maryann,Royster,74 S Westgate St,,Albany,New York,12204,1963-02-27,959-99-6560,mroyster@royster.com,9723039197,28658
Alisha,Slusarski,3273 State St,,Middlesex,New Jersey,8846,1949-08-29,537-64-6119,alisha@slusarski.com,5189667987,30881
Allene,Iturbide,1 Central Ave,,Stevens Point,Wisconsin,54481,1985-02-24,771-35-1835,allene_iturbide@cox.net,7326583154,33152
Chanel,Caudy,86 Nw 66th St,#8673,Shawnee,Kansas,66218,1972-06-18,892-15-4289,chanel.caudy@caudy.org,7156626764,15482
Ezekiel,Chui,2 Cedar Ave,#84,Easton,Maryland,21601,1950-07-13,792-14-1333,ezekiel@chui.com,9133882079,16456
Willow,Kusko,90991 Thorburn Ave,,New York,New York,10011,1955-05-18,719-41-7284,wkusko@yahoo.com,4106691642,27014
Bernardo,Figeroa,386 9th Ave N,,Conroe,Texas,77301,1955-04-13,858-14-2437,bfigeroa@aol.com,2125824976,34454
Ammie,Corrio,74874 Atlantic Ave,,Columbus,Ohio,43215,1975-01-10,865-62-8550,ammie@corrio.com,9363363951,26777
Francine,Vocelka,366 South Dr,,Las Cruces,New Mexico,88011,1962-04-30,288-18-1881,francine_vocelka@vocelka.com,6148019788,20759
Ernie,Stenseth,45 E Liberty St,,Ridgefield Park,New Jersey,7660,1976-01-02,668-59-1234,ernie_stenseth@aol.com,5059773911,32922
Albina,Glick,4 Ralph Ct,,Dunellen,New Jersey,8812,1993-01-31,798-85-9268,albina@glick.com,2017096245,17079
Alishia,Sergi,2742 Distribution Way,,New York,New York,10025,1942-01-22,981-71-5987,asergi@gmail.com,7329247882,26603
Solange,Shinko,426 Wolf St,,Metairie,Louisiana,70002,1986-02-28,400-86-4353,solange@shinko.com,2128601579,20669
Jose,Stockham,128 Bransten Rd,,New York,New York,10011,1988-08-04,517-23-7218,jose@yahoo.com,5049799175,22965
Rozella,Ostrosky,17 Morena Blvd,,Camarillo,California,93012,1973-12-27,942-80-9716,rozella.ostrosky@ostrosky.com,2126758570,24029
Valentine,Gillian,775 W 17th St,,San Antonio,Texas,78204,1945-09-30,730-09-4476,valentine_gillian@gmail.com,8058326163,31488
Kati,Rulapaugh,6980 Dorsett Rd,,Abilene,Kansas,67410,1954-08-05,445-65-4320,kati.rulapaugh@hotmail.com,2108129597,31593
Youlanda,Schemmer,2881 Lewis Rd,,Prineville,Oregon,97754,1985-03-27,391-95-5844,youlanda@aol.com,7854637829,29042
Dyan,Oldroyd,7219 Woodfield Rd,,Overland Park,Kansas,66204,1982-08-12,354-61-8954,doldroyd@aol.com,5415488197,33013
Roxane,Campain,1048 Main St,,Fairbanks,Alaska,99708,1964-04-26,981-01-6885,roxane@hotmail.com,9134134604,17447
Lavera,Perin,678 3rd Ave,,Miami,Florida,33196,1948-10-13,573-59-1846,lperin@perin.org,9072314722,30100
Erick,Ferencz,20 S Babcock St,,Fairbanks,Alaska,99712,1978-08-12,751-83-6541,erick.ferencz@aol.com,3056067291,38206
Fatima,Saylors,2 Lighthouse Ave,,Hopkins,Minnesota,55343,1942-09-14,669-94-4317,fsaylors@saylors.org,9077411044,17561
Jina,Briddick,38938 Park Blvd,,Boston,Massachusetts,2128,1949-01-17,903-17-8397,jina_briddick@briddick.com,9527682416,32104
Kanisha,Waycott,5 Tomahawk Dr,,Los Angeles,California,90006,1948-06-30,559-78-9126,kanisha_waycott@yahoo.com,6173995124,23777
Emerson,Bowley,762 S Main St,,Madison,Wisconsin,53711,1981-05-18,607-56-8700,emerson.bowley@bowley.org,3234532780,20565
Blair,Malet,209 Decker Dr,,Philadelphia,Pennsylvania,19132,1988-11-21,952-98-9755,bmalet@yahoo.com,6083367444,32218
Venn,Artie,81 W Cerritos Ave,#54,Bridgeport,New Jersey,8014,1947-11-10,793-96-4891,art@venere.org,8102929388,44891
Paps,Lenord,6391 Main St,,Anchorage,Alaska,99501,1986-02-11,581-28-6762,lenpaps@hotmail.com,8566368749,46762
